"Vet Med Labor GmbHLabor KornwestheimLabor Leipzig069 153 253 290Division of IDEXX LaboratoriesHumboldtstraße 2Druckereistraße 4www.idexx.de70806 Kornwestheim04159 Leipziglaborservice@idexx.com"
""
"Vet Med Labor GmbHLabor KornwestheimLabor Leipzig069 153 253 290Division of IDEXX LaboratoriesHumboldtstraße 2Druckereistraße 4www.idexx.de70806 Kornwestheim04159 Leipziglaborservice@idexx.com"
www.idexx.de
"Vet Med Labor GmbHLabor KornwestheimLabor Leipzig069 153 253 290Division of IDEXX LaboratoriesHumboldtstraße 2Druckereistraße 4www.idexx.de70806 Kornwestheim04159 Leipziglaborservice@idexx.com",
"",
"",
laborservice@idexx.com,
www.idexx.de,
"",
"Account ID:ADAGPet-Owner:PereiraInternal lab-number:LZ057364Dr. Geoffrey Schembri AdamiAnimal name:DaisyBarcode number:79595011Animal Aid Vet ClinicSpecies:CanineDate of receipt:27.08.202549 Oscar Zammit StreetGender:FMaterial:Serum, EDTA wholeMSD 1282 MsidaAge:5 Yblood, Blood smear,Urine (no additive)",
LAB REPORT:Daisy,
"Vet Med Labor GmbHLabor KornwestheimLabor Leipzig069 153 253 290Division of IDEXX LaboratoriesHumboldtstraße 2Druckereistraße 4www.idexx.de70806 Kornwestheim04159 Leipziglaborservice@idexx.com"
""
""
"",TEST,,ESULT,EFERENCE VALUE,
"",,,,,
""
aterial: Urine (no additive),,
rine Profile,,
"",,
rine analysis (Urine test strip/refractometry),,5)
"",,
""
""
"",,,
"",,,
""
""
""
""
""
""
""
rine sediment (Microscopy),,
"",,
""
""
""
""
""
""
""
""
""
"Report created on 27.08.2025 at 04:34 UTCFinal reportPage 1 of 4"
"",,,,,
"",,Vet Med Labor GmbH Labor Kornwestheim,Labor Leipzig,069 153 253 290,
"",,Division of IDEXX Laboratories Humboldtstraße 2,Druckereistraße 4,,
"",,www.idexx.de 70806 Kornwestheim,04159 Leipzig,laborservice@idexx.com,
"",,,,,
Pet-Owner: Pereira,,Animal name: Daisy,,Internal lab-number: LZ057364,
"",,,,,
TEST,,RESULT REFERENCE VALUE,,,
Protein/Creatinine ratio,,,,,
Creatinine in urine,,7514,μmol/L,,1)
Total protein in urine,,192.0,mg/L,,1)
Protein/creatinine ratio,,0.23 0.0 - 0.5,,,1)
material: Serum,,,,,
Geriatric Profile,,,,,
T4 (total T4) EIA,,43.76 12.87 - 51.48,nmol/L,,"1),7)"
Check-up,,,,,
Glucose,,4.55 3.16 - 6.99,mmol/L,,1)
IDEXX SDMATM EIA,,13 0 - 14,μg/dL,,"8),1)"
Creatinine,,159.12 44.2 - 132.6,μmol/L,+,1)
Urea (BUN),,8.57 3.21 - 10.35,mmol/L,,1)
Phosphate,,1.2 0.9 - 1.7,mmol/L,,1)
Calcium,,2.7 2.1 - 2.9,mmol/L,,1)
Magnesium,,0.8 0.7 - 1.1,mmol/L,,1)
Sodium,,147 142 - 153,mmol/L,,1)
Potassium,,5.0 3.9 - 5.8,mmol/L,,1)
Chloride,,112 106 - 120,mmol/L,,1)
Total protein,,67 54 - 76,g/L,,1)
Albumin,,30 28 - 43,g/L,,1)
Globulin,,37 24 - 43,g/L,,1)
