analyte,value,unit,min,max,class
glucose_mmol_L,4.72,mmol/L,4.11,7.94,NORMAL
sdma_ug_dL,12.0,ug/dL,0,14,NORMAL
creatinine_umol_L,123.76,umol/L,44,141,NORMAL
urea_mmol_L,5.71,mmol/L,2.5,9.6,NORMAL
phosphorus_mmol_L,1.2,mmol/L,0.81,2.19,NORMAL
calcium_mmol_L,2.6,mmol/L,1.98,3.00,NORMAL
magnesium_mmol_L,0.7,mmol/L,0.58,0.99,NORMAL
sodium_mmol_L,150.0,mmol/L,144,160,NORMAL
potassium_mmol_L,4.9,mmol/L,3.5,5.8,NORMAL
chloride_mmol_L,115.0,mmol/L,109,122,NORMAL
total_protein_g_L,67.0,g/L,52,82,NORMAL
albumin_g_L,31.0,g/L,23,40,NORMAL
globulin_g_L,36.0,g/L,25,45,NORMAL
alt_U_L,21.0,U/L,10,125,NORMAL
ast_U_L,29.0,U/L,0,50,NORMAL
alp_U_L,90.0,U/L,23,212,NORMAL
ggt_U_L,3.0,U/L,0,11,NORMAL
gldh_U_L,3.0,U/L,1,18,NORMAL
bilirubin_total_umol_L,5.13,umol/L,0,15,NORMAL
cholesterol_mmol_L,8.2,mmol/L,2.84,8.27,NORMAL
triglycerides_mmol_L,0.71,mmol/L,0.11,1.13,NORMAL
lipase_U_L,93.0,U/L,200,1800,LOW
ck_U_L,82.0,U/L,10,200,NORMAL
fructosamine_umol_L,302.0,umol/L,177,314,NORMAL
