SourceFile,FileName,DateTimeOriginal,GPSLatitude,GPSLongitude,GPSAltitude,Model,ImageWidth,ImageHeight
2025-05-30__stool__0001.JPG,2025-05-30__stool__0001.JPG,2025:05:30 12:55:16,"35 deg 51' 3.62"" N","14 deg 26' 14.44"" E",99.3 m Above Sea Level,iPhone 15 Plus,5712,4284
2025-05-30__stool__0025.JPG,2025-05-30__stool__0025.JPG,2025:05:30 13:00:19,"35 deg 51' 3.47"" N","14 deg 26' 14.44"" E",99.3 m Above Sea Level,iPhone 15 Plus,4032,3024
2025-05-30__stool__0026.JPG,2025-05-30__stool__0026.JPG,2025:05:30 13:01:11,"35 deg 51' 3.61"" N","14 deg 26' 14.29"" E",104.6 m Above Sea Level,iPhone 15 Plus,5712,4284
2026-02-04__stool__0002.JPG,2026-02-04__stool__0002.JPG,2026:02:04 13:19:28,"35 deg 51' 3.16"" N","14 deg 26' 13.75"" E",111.2 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-07__stool__0003.JPG,2026-02-07__stool__0003.JPG,2026:02:07 16:37:05,"35 deg 51' 3.58"" N","14 deg 26' 14.44"" E",104.1 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-08__stool__0004.JPG,2026-02-08__stool__0004.JPG,2026:02:08 00:18:19,"35 deg 51' 3.35"" N","14 deg 26' 13.85"" E",100.5 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-08__stool__0027.JPG,2026-02-08__stool__0027.JPG,2026:02:08 00:18:59,"35 deg 51' 3.10"" N","14 deg 26' 13.85"" E",99.6 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-08__stool__0028.JPG,2026-02-08__stool__0028.JPG,2026:02:08 00:19:00,"35 deg 51' 3.10"" N","14 deg 26' 13.85"" E",99.6 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-09__stool__0005.JPG,2026-02-09__stool__0005.JPG,2026:02:09 12:46:44,"35 deg 51' 3.55"" N","14 deg 26' 14.29"" E",102.8 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-10__stool__0006.JPG,2026-02-10__stool__0006.JPG,2026:02:10 14:55:39,"35 deg 51' 3.66"" N","14 deg 26' 13.97"" E",109.6 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-12__stool__0007.JPG,2026-02-12__stool__0007.JPG,2026:02:12 14:50:27,"35 deg 51' 3.25"" N","14 deg 26' 13.97"" E",101.4 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-13__stool__0008.JPG,2026-02-13__stool__0008.JPG,2026:02:13 15:14:03,"35 deg 51' 3.44"" N","14 deg 26' 13.75"" E",119.8 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-15__stool__0009.JPG,2026-02-15__stool__0009.JPG,2026:02:15 15:27:58,"35 deg 51' 3.59"" N","14 deg 26' 14.24"" E",102.5 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-16__stool__0010.JPG,2026-02-16__stool__0010.JPG,2026:02:16 18:08:56,"35 deg 51' 2.88"" N","14 deg 26' 13.33"" E",105 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-16__stool__0029.JPG,2026-02-16__stool__0029.JPG,2026:02:16 18:09:20,"35 deg 51' 2.92"" N","14 deg 26' 13.48"" E",112 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-17__stool__0011.JPG,2026-02-17__stool__0011.JPG,2026:02:17 15:27:18,"35 deg 51' 3.22"" N","14 deg 26' 13.82"" E",99.8 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-18__stool__0012.JPG,2026-02-18__stool__0012.JPG,2026:02:18 14:15:37,"35 deg 51' 3.22"" N","14 deg 26' 13.82"" E",104.1 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-21__stool__0013.JPG,2026-02-21__stool__0013.JPG,2026:02:21 17:19:25,"35 deg 51' 3.22"" N","14 deg 26' 13.82"" E",105 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-22__stool__0014.JPG,2026-02-22__stool__0014.JPG,2026:02:22 14:29:14,"35 deg 51' 3.73"" N","14 deg 26' 14.51"" E",101.1 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-23__stool__0015.JPG,2026-02-23__stool__0015.JPG,2026:02:23 14:38:25,"35 deg 51' 3.05"" N","14 deg 26' 13.70"" E",100.4 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-25__stool__0016.JPG,2026-02-25__stool__0016.JPG,2026:02:25 13:44:40,"35 deg 51' 3.48"" N","14 deg 26' 13.16"" E",101.7 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-02-25__stool__0030.JPG,2026-02-25__stool__0030.JPG,2026:02:25 13:44:51,"35 deg 51' 3.48"" N","14 deg 26' 13.42"" E",104.5 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-03-01__stool__0017.JPG,2026-03-01__stool__0017.JPG,2026:03:01 16:01:25,"35 deg 51' 3.04"" N","14 deg 26' 13.60"" E",104 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-03-04__stool__0018.JPG,2026-03-04__stool__0018.JPG,2026:03:04 14:08:16,"35 deg 51' 4.16"" N","14 deg 26' 14.99"" E",124.1 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-03-05__stool__0019.JPG,2026-03-05__stool__0019.JPG,2026:03:05 13:31:28,"35 deg 51' 3.65"" N","14 deg 26' 14.80"" E",109.4 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-03-07__stool__0020.JPG,2026-03-07__stool__0020.JPG,2026:03:07 14:55:14,"35 deg 51' 3.04"" N","14 deg 26' 13.60"" E",101.4 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-03-08__stool__0021.JPG,2026-03-08__stool__0021.JPG,2026:03:08 14:54:15,"35 deg 51' 3.03"" N","14 deg 26' 13.54"" E",107.9 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-03-10__stool__0022.JPG,2026-03-10__stool__0022.JPG,2026:03:10 13:51:39,"35 deg 51' 3.92"" N","14 deg 26' 14.29"" E",107.1 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-03-11__stool__0023.JPG,2026-03-11__stool__0023.JPG,2026:03:11 12:21:02,"35 deg 51' 3.64"" N","14 deg 26' 14.35"" E",99.9 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-03-11__stool__0031.JPG,2026-03-11__stool__0031.JPG,2026:03:11 13:32:53,"35 deg 51' 3.26"" N","14 deg 26' 13.82"" E",102 m Above Sea Level,iPhone 15 Plus,4032,3024
2026-03-14__stool__0024.JPG,2026-03-14__stool__0024.JPG,2026:03:14 15:22:00,"35 deg 51' 3.31"" N","14 deg 26' 13.63"" E",101.2 m Above Sea Level,iPhone 15 Plus,4032,3024
